id,Pmin,Pmax,a,b,c,e,f,UR,DR,P0
1,150,455,1000,16.19,0.00048,450,4.2,80,120,150
2,150,455,970,17.26,0.00031,350,4.5,80,120,150
3,20,130,600,16.60,0.00200,150,3.4,130,130,20
4,20,130,335,16.50,0.00211,150,3.4,130,130,20
5,150,470,1050,19.70,0.00049,400,4.7,80,80,150
6,135,460,950,19.80,0.00049,350,4.6,80,80,135
7,135,465,1450,16.20,0.00031,400,4.6,80,80,135
8,60,300,1450,19.10,0.00029,300,4.4,80,80,60
9,25,162,1450,16.40,0.00069,200,4.2,80,80,25
10,25,160,1450,19.00,0.00079,200,4.2,80,80,25
11,150,455,1000,16.19,0.00048,450,4.2,80,120,150
12,150,455,970,17.26,0.00031,350,4.5,80,120,150
13,20,130,600,16.60,0.00200,150,3.4,130,130,20
14,20,130,335,16.50,0.00211,150,3.4,130,130,20
15,150,470,1050,19.70,0.00049,400,4.7,80,80,150
16,135,460,950,19.80,0.00049,350,4.6,80,80,135
17,135,465,1450,16.20,0.00031,400,4.6,80,80,135
18,60,300,1450,19.10,0.00029,300,4.4,80,80,60
19,25,162,1450,16.40,0.00069,200,4.2,80,80,25
20,25,160,1450,19.00,0.00079,200,4.2,80,80,25
21,150,455,1000,16.19,0.00048,450,4.2,80,120,150
22,150,455,970,17.26,0.00031,350,4.5,80,120,150
23,20,130,600,16.60,0.00200,150,3.4,130,130,20
24,20,130,335,16.50,0.00211,150,3.4,130,130,20
25,150,470,1050,19.70,0.00049,400,4.7,80,80,150
26,135,460,950,19.80,0.00049,350,4.6,80,80,135
27,135,465,1450,16.20,0.00031,400,4.6,80,80,135
28,60,300,1450,19.10,0.00029,300,4.4,80,80,60
29,25,162,1450,16.40,0.00069,200,4.2,80,80,25
30,25,160,1450,19.00,0.00079,200,4.2,80,80,25
31,150,455,1000,16.19,0.00048,450,4.2,80,120,150
32,150,455,970,17.26,0.00031,350,4.5,80,120,150
33,20,130,600,16.60,0.00200,150,3.4,130,130,20
34,20,130,335,16.50,0.00211,150,3.4,130,130,20
35,150,470,1050,19.70,0.00049,400,4.7,80,80,150
36,135,460,950,19.80,0.00049,350,4.6,80,80,135
37,135,465,1450,16.20,0.00031,400,4.6,80,80,135
38,60,300,1450,19.10,0.00029,300,4.4,80,80,60
39,25,162,1450,16.40,0.00069,200,4.2,80,80,25
40,25,160,1450,19.00,0.00079,200,4.2,80,80,25
41,150,455,1000,16.19,0.00048,450,4.2,80,120,150
42,150,455,970,17.26,0.00031,350,4.5,80,120,150
43,20,130,600,16.60,0.00200,150,3.4,130,130,20
44,20,130,335,16.50,0.00211,150,3.4,130,130,20
45,150,470,1050,19.70,0.00049,400,4.7,80,80,150
46,135,460,950,19.80,0.00049,350,4.6,80,80,135
47,135,465,1450,16.20,0.00031,400,4.6,80,80,135
48,60,300,1450,19.10,0.00029,300,4.4,80,80,60
49,25,162,1450,16.40,0.00069,200,4.2,80,80,25
50,25,160,1450,19.00,0.00079,200,4.2,80,80,25
51,150,455,1000,16.19,0.00048,450,4.2,80,120,150
52,150,455,970,17.26,0.00031,350,4.5,80,120,150
53,20,130,600,16.60,0.00200,150,3.4,130,130,20
54,20,130,335,16.50,0.00211,150,3.4,130,130,20
55,150,470,1050,19.70,0.00049,400,4.7,80,80,150
56,135,460,950,19.80,0.00049,350,4.6,80,80,135
57,135,465,1450,16.20,0.00031,400,4.6,80,80,135
58,60,300,1450,19.10,0.00029,300,4.4,80,80,60
59,25,162,1450,16.40,0.00069,200,4.2,80,80,25
60,25,160,1450,19.00,0.00079,200,4.2,80,80,25
61,150,455,1000,16.19,0.00048,450,4.2,80,120,150
62,150,455,970,17.26,0.00031,350,4.5,80,120,150
63,20,130,600,16.60,0.00200,150,3.4,130,130,20
64,20,130,335,16.50,0.00211,150,3.4,130,130,20
65,150,470,1050,19.70,0.00049,400,4.7,80,80,150
66,135,460,950,19.80,0.00049,350,4.6,80,80,135
67,135,465,1450,16.20,0.00031,400,4.6,80,80,135
68,60,300,1450,19.10,0.00029,300,4.4,80,80,60
69,25,162,1450,16.40,0.00069,200,4.2,80,80,25
70,25,160,1450,19.00,0.00079,200,4.2,80,80,25
71,150,455,1000,16.19,0.00048,450,4.2,80,120,150
72,150,455,970,17.26,0.00031,350,4.5,80,120,150
73,20,130,600,16.60,0.00200,150,3.4,130,130,20
74,20,130,335,16.50,0.00211,150,3.4,130,130,20
75,150,470,1050,19.70,0.00049,400,4.7,80,80,150
76,135,460,950,19.80,0.00049,350,4.6,80,80,135
77,135,465,1450,16.20,0.00031,400,4.6,80,80,135
78,60,300,1450,19.10,0.00029,300,4.4,80,80,60
79,25,162,1450,16.40,0.00069,200,4.2,80,80,25
80,25,160,1450,19.00,0.00079,200,4.2,80,80,25
81,150,455,1000,16.19,0.00048,450,4.2,80,120,150
82,150,455,970,17.26,0.00031,350,4.5,80,120,150
83,20,130,600,16.60,0.00200,150,3.4,130,130,20
84,20,130,335,16.50,0.00211,150,3.4,130,130,20
85,150,470,1050,19.70,0.00049,400,4.7,80,80,150
86,135,460,950,19.80,0.00049,350,4.6,80,80,135
87,135,465,1450,16.20,0.00031,400,4.6,80,80,135
88,60,300,1450,19.10,0.00029,300,4.4,80,80,60
89,25,162,1450,16.40,0.00069,200,4.2,80,80,25
90,25,160,1450,19.00,0.00079,200,4.2,80,80,25
91,150,455,1000,16.19,0.00048,450,4.2,80,120,150
92,150,455,970,17.26,0.00031,350,4.5,80,120,150
93,20,130,600,16.60,0.00200,150,3.4,130,130,20
94,20,130,335,16.50,0.00211,150,3.4,130,130,20
95,150,470,1050,19.70,0.00049,400,4.7,80,80,150
96,135,460,950,19.80,0.00049,350,4.6,80,80,135
97,135,465,1450,16.20,0.00031,400,4.6,80,80,135
